Month,Year,Bust(in),Cupsize(a=1.b=2.c=3.d=4.dd=5.ddd=6.e=7.ee=8),Waist,Hips,Height,Weight,BMI,Waist/Hip
December,1953,91.44,,60.96,91.44,165.1,53.523856,19.63408284,0.666666667
January,1954,,,,,,,,
February,1954,,,,,,,,
March,1954,86.36,,60.96,88.9,167.64,53.523856,19.043618,0.685714286
April,1954,,,,,,,,
May,1954,,,,,,,,
June,1954,,,,,,,,
July,1954,,,,,,,,
August,1954,,,,,,,,
September,1954,,,,,,,,
October,1954,,,,,,,,
November,1954,,,,,166.37,56.699,20.48248937,
December,1954,91.44,,60.96,91.44,,,,0.666666667
January,1955,,,,,166.37,,0,
February,1955,101.6,,53.34,81.28,,,,0.65625
March,1955,,,,,,,,
April,1955,,,,,,,,
May,1955,,,,,,,,
June,1955,99.06,,63.5,88.9,,,,0.714285714
July,1955,91.44,,60.96,91.44,166.37,52.16308,18.84389022,0.666666667
August,1955,,,,,,,,
September,1955,,,,,,,,
October,1955,,,,,,,,
November,1955,,,,,,,,
December,1955,91.44,,60.96,91.44,166.37,52.16308,18.84389022,0.666666667
January,1956,96.52,,60.96,93.98,,,,0.648648649
February,1956,,,,,,,,
March,1956,86.36,,53.34,86.36,160.02,,0,0.617647059
April,1956,91.44,,55.88,88.9,166.37,,0,0.628571429
May,1956,91.44,,58.42,88.9,167.64,,0,0.657142857
June,1956,86.36,,53.34,86.36,160.02,,0,0.617647059
July,1956,91.44,,60.96,86.36,157.48,47.62716,19.20265349,0.705882353
August,1956,93.98,,60.96,91.44,170.18,55.338224,19.10581421,0.666666667
September,1956,96.52,,60.96,88.9,,,,0.685714286
October,1956,91.44,,60.96,91.44,166.37,52.16308,18.84389022,0.666666667
November,1956,99.06,,55.88,91.44,160.02,58.059776,22.67170572,0.611111111
December,1956,88.9,,58.42,88.9,157.48,48.080752,19.3855359,0.657142857
January,1957,91.44,,63.5,91.44,165.1,54.43104,19.96686391,0.694444444
February,1957,,,,,,,,
March,1957,91.44,,50.8,91.44,170.18,54.43104,18.79260414,0.555555556
April,1957,,,,,,,,
May,1957,,,,,,,,
June,1957,,,,,,,,
July,1957,96.52,,58.42,86.36,160.02,,0,0.676470588
August,1957,,,,,,,,
September,1957,,,,,,53.070264,,
October,1957,,,,,,,,
November,1957,86.36,,55.88,83.82,157.48,44.452016,17.92247659,0.666666667
December,1957,88.9,,53.34,88.9,,,,0.6
January,1958,,,,,,,,
February,1958,,,,,,,,
March,1958,,,,,170.18,,0,
April,1958,,,,,171.45,,0,
May,1958,96.52,,53.34,86.36,175.26,56.245408,18.30959882,0.617647059
June,1958,101.6,,50.8,91.44,165.1,54.43104,19.96686391,0.555555556
July,1958,,,,,157.48,,0,
August,1958,,,,,,,,
September,1958,,,,,157.48,45.3592,18.28824142,
October,1958,,,,,,,,
November,1958,86.36,,57.15,86.36,165.1,53.523856,19.63408284,0.661764706
December,1958,86.36,,60.96,86.36,168.91,53.523856,18.75832438,0.705882353
January,1959,93.98,,55.88,91.44,,,,0.611111111
February,1959,101.6,,55.88,93.98,173.99,61.23492,20.22590442,0.594594595
March,1959,,,,,,,,
April,1959,91.44,,60.96,91.44,165.1,56.699,20.79881657,0.666666667
May,1959,91.44,,60.96,91.44,167.64,56.245408,20.01193756,0.666666667
June,1959,,,,,,,,
July,1959,91.44,,60.96,91.44,160.02,47.62716,18.5978836,0.666666667
August,1959,,,,,,,,
September,1959,86.36,,60.96,86.36,167.64,49.89512,17.75252525,0.705882353
October,1959,99.06,,63.5,93.98,172.72,58.96696,19.76427336,0.675675676
November,1959,91.44,,55.88,91.44,161.29,52.16308,20.0496001,0.611111111
